date,sunrise,sunset
"Wed, Sep 1",7:04:26 am,8:21:03 pm
"Thu, Sep 2",7:05:43 am,8:19:06 pm
"Fri, Sep 3",7:07:01 am,8:17:09 pm
"Sat, Sep 4",7:08:18 am,8:15:12 pm
"Sun, Sep 5",7:09:35 am,8:13:14 pm
"Mon, Sep 6",7:10:53 am,8:11:16 pm
"Tue, Sep 7",7:12:10 am,8:09:17 pm
"Wed, Sep 8",7:13:27 am,8:07:18 pm
"Thu, Sep 9",7:14:45 am,8:05:19 pm
"Fri, Sep 10",7:16:02 am,8:03:19 pm
"Sat, Sep 11",7:17:20 am,8:01:19 pm
"Sun, Sep 12",7:18:37 am,7:59:19 pm
"Mon, Sep 13",7:19:55 am,7:57:19 pm
"Tue, Sep 14",7:21:12 am,7:55:19 pm
"Wed, Sep 15",7:22:30 am,7:53:18 pm
"Thu, Sep 16",7:23:47 am,7:51:17 pm
"Fri, Sep 17",7:25:05 am,7:49:17 pm
"Sat, Sep 18",7:26:23 am,7:47:16 pm
"Sun, Sep 19",7:27:41 am,7:45:15 pm
"Mon, Sep 20",7:28:59 am,7:43:15 pm
"Tue, Sep 21",7:30:18 am,7:41:14 pm
"Wed, Sep 22",7:31:36 am,7:39:13 pm
"Thu, Sep 23",7:32:55 am,7:37:13 pm
"Fri, Sep 24",7:34:13 am,7:35:13 pm
"Sat, Sep 25",7:35:32 am,7:33:13 pm
"Sun, Sep 26",7:36:51 am,7:31:13 pm
"Mon, Sep 27",7:38:11 am,7:29:13 pm
"Tue, Sep 28",7:39:30 am,7:27:14 pm
"Wed, Sep 29",7:40:50 am,7:25:14 pm
"Thu, Sep 30",7:42:10 am,7:23:16 pm
"Fri, Oct 1",7:43:30 am,7:21:17 pm
"Sat, Oct 2",7:44:51 am,7:19:19 pm
"Sun, Oct 3",7:46:11 am,7:17:22 pm
"Mon, Oct 4",7:47:32 am,7:15:24 pm
"Tue, Oct 5",7:48:53 am,7:13:28 pm
"Wed, Oct 6",7:50:15 am,7:11:32 pm
"Thu, Oct 7",7:51:37 am,7:09:36 pm
"Fri, Oct 8",7:52:59 am,7:07:41 pm
"Sat, Oct 9",7:54:21 am,7:05:47 pm
"Sun, Oct 10",7:55:44 am,7:03:53 pm
"Mon, Oct 11",7:57:06 am,7:02:00 pm
"Tue, Oct 12",7:58:30 am,7:00:08 pm
"Wed, Oct 13",7:59:53 am,6:58:16 pm
"Thu, Oct 14",8:01:17 am,6:56:25 pm
"Fri, Oct 15",8:02:41 am,6:54:35 pm
"Sat, Oct 16",8:04:06 am,6:52:46 pm
"Sun, Oct 17",8:05:30 am,6:50:58 pm
"Mon, Oct 18",8:06:55 am,6:49:11 pm
"Tue, Oct 19",8:08:21 am,6:47:25 pm
"Wed, Oct 20",8:09:46 am,6:45:40 pm
"Thu, Oct 21",8:11:12 am,6:43:56 pm
"Fri, Oct 22",8:12:38 am,6:42:12 pm
"Sat, Oct 23",8:14:05 am,6:40:31 pm
"Sun, Oct 24",8:15:31 am,6:38:50 pm
"Mon, Oct 25",8:16:58 am,6:37:10 pm
"Tue, Oct 26",8:18:26 am,6:35:32 pm
"Wed, Oct 27",8:19:53 am,6:33:55 pm
"Thu, Oct 28",8:21:20 am,6:32:19 pm
"Fri, Oct 29",8:22:48 am,6:30:45 pm
"Sat, Oct 30",8:24:16 am,6:29:12 pm
"Sun, Oct 31",8:25:44 am,6:27:41 pm
"Mon, Nov 1",8:27:12 am,6:26:11 pm
"Tue, Nov 2",8:28:40 am,6:24:42 pm
"Wed, Nov 3",8:30:08 am,6:23:16 pm
"Thu, Nov 4",8:31:37 am,6:21:50 pm
"Fri, Nov 5",8:33:05 am,6:20:27 pm
"Sat, Nov 6",8:34:33 am,6:19:05 pm
"Sun, Nov 7",7:36:05 am,5:17:42 pm
"Mon, Nov 8",7:37:33 am,5:16:24 pm
"Tue, Nov 9",7:39:00 am,5:15:08 pm
"Wed, Nov 10",7:40:28 am,5:13:53 pm
"Thu, Nov 11",7:41:55 am,5:12:41 pm
"Fri, Nov 12",7:43:23 am,5:11:30 pm
"Sat, Nov 13",7:44:49 am,5:10:22 pm
"Sun, Nov 14",7:46:16 am,5:09:16 pm
"Mon, Nov 15",7:47:41 am,5:08:12 pm
"Tue, Nov 16",7:49:07 am,5:07:09 pm
"Wed, Nov 17",7:50:32 am,5:06:10 pm
"Thu, Nov 18",7:51:56 am,5:05:12 pm
"Fri, Nov 19",7:53:20 am,5:04:17 pm
"Sat, Nov 20",7:54:43 am,5:03:24 pm
"Sun, Nov 21",7:56:05 am,5:02:33 pm
"Mon, Nov 22",7:57:26 am,5:01:45 pm
"Tue, Nov 23",7:58:46 am,5:00:59 pm
"Wed, Nov 24",8:00:06 am,5:00:16 pm
"Thu, Nov 25",8:01:24 am,4:59:36 pm
"Fri, Nov 26",8:02:41 am,4:58:57 pm
"Sat, Nov 27",8:03:58 am,4:58:22 pm
"Sun, Nov 28",8:05:13 am,4:57:49 pm
"Mon, Nov 29",8:06:26 am,4:57:19 pm
"Tue, Nov 30",8:07:38 am,4:56:51 pm
"Wed, Dec 1",8:08:49 am,4:56:26 pm
"Thu, Dec 2",8:09:58 am,4:56:04 pm
"Fri, Dec 3",8:11:06 am,4:55:45 pm
"Sat, Dec 4",8:12:12 am,4:55:28 pm
"Sun, Dec 5",8:13:17 am,4:55:14 pm
"Mon, Dec 6",8:14:19 am,4:55:03 pm
"Tue, Dec 7",8:15:20 am,4:54:55 pm
"Wed, Dec 8",8:16:19 am,4:54:50 pm
"Thu, Dec 9",8:17:16 am,4:54:47 pm
"Fri, Dec 10",8:18:10 am,4:54:47 pm
"Sat, Dec 11",8:19:03 am,4:54:51 pm
"Sun, Dec 12",8:19:54 am,4:54:56 pm
"Mon, Dec 13",8:20:42 am,4:55:05 pm
"Tue, Dec 14",8:21:28 am,4:55:17 pm
"Wed, Dec 15",8:22:12 am,4:55:31 pm
"Thu, Dec 16",8:22:53 am,4:55:49 pm
"Fri, Dec 17",8:23:32 am,4:56:09 pm
"Sat, Dec 18",8:24:09 am,4:56:31 pm
"Sun, Dec 19",8:24:43 am,4:56:57 pm
"Mon, Dec 20",8:25:14 am,4:57:25 pm
"Tue, Dec 21",8:25:43 am,4:57:56 pm
"Wed, Dec 22",8:26:09 am,4:58:29 pm
"Thu, Dec 23",8:26:33 am,4:59:05 pm
"Fri, Dec 24",8:26:53 am,4:59:44 pm
"Sat, Dec 25",8:27:12 am,5:00:25 pm
"Sun, Dec 26",8:27:27 am,5:01:09 pm
"Mon, Dec 27",8:27:40 am,5:01:55 pm
"Tue, Dec 28",8:27:50 am,5:02:43 pm
"Wed, Dec 29",8:27:57 am,5:03:34 pm
"Thu, Dec 30",8:28:01 am,5:04:27 pm
"Fri, Dec 31",8:28:03 am,5:05:22 pm
"Fri, Jan 1",8:28:01 am,5:06:34 pm
"Sat, Jan 2",8:27:56 am,5:07:33 pm
"Sun, Jan 3",8:27:49 am,5:08:35 pm
"Mon, Jan 4",8:27:39 am,5:09:39 pm
"Tue, Jan 5",8:27:26 am,5:10:45 pm
"Wed, Jan 6",8:27:10 am,5:11:52 pm
"Thu, Jan 7",8:26:52 am,5:13:01 pm
"Fri, Jan 8",8:26:30 am,5:14:12 pm
"Sat, Jan 9",8:26:06 am,5:15:25 pm
"Sun, Jan 10",8:25:40 am,5:16:39 pm
"Mon, Jan 11",8:25:10 am,5:17:54 pm
"Tue, Jan 12",8:24:39 am,5:19:11 pm
"Wed, Jan 13",8:24:04 am,5:20:29 pm
"Thu, Jan 14",8:23:27 am,5:21:49 pm
"Fri, Jan 15",8:22:47 am,5:23:09 pm
"Sat, Jan 16",8:22:05 am,5:24:31 pm
"Sun, Jan 17",8:21:21 am,5:25:54 pm
"Mon, Jan 18",8:20:34 am,5:27:18 pm
"Tue, Jan 19",8:19:44 am,5:28:42 pm
"Wed, Jan 20",8:18:52 am,5:30:08 pm
"Thu, Jan 21",8:17:58 am,5:31:34 pm
"Fri, Jan 22",8:17:02 am,5:33:01 pm
"Sat, Jan 23",8:16:03 am,5:34:29 pm
"Sun, Jan 24",8:15:02 am,5:35:57 pm
"Mon, Jan 25",8:13:59 am,5:37:26 pm
"Tue, Jan 26",8:12:54 am,5:38:55 pm
"Wed, Jan 27",8:11:47 am,5:40:25 pm
"Thu, Jan 28",8:10:38 am,5:41:56 pm
"Fri, Jan 29",8:09:27 am,5:43:26 pm
"Sat, Jan 30",8:08:13 am,5:44:57 pm
"Sun, Jan 31",8:06:58 am,5:46:28 pm
"Mon, Feb 1",8:05:42 am,5:48:00 pm
"Tue, Feb 2",8:04:23 am,5:49:31 pm
"Wed, Feb 3",8:03:02 am,5:51:03 pm
"Thu, Feb 4",8:01:40 am,5:52:35 pm
"Fri, Feb 5",8:00:16 am,5:54:07 pm
"Sat, Feb 6",7:58:51 am,5:55:39 pm
"Sun, Feb 7",7:57:24 am,5:57:11 pm
"Mon, Feb 8",7:55:55 am,5:58:43 pm
"Tue, Feb 9",7:54:25 am,6:00:14 pm
"Wed, Feb 10",7:52:54 am,6:01:46 pm
"Thu, Feb 11",7:51:21 am,6:03:18 pm
"Fri, Feb 12",7:49:46 am,6:04:49 pm
"Sat, Feb 13",7:48:11 am,6:06:21 pm
"Sun, Feb 14",7:46:34 am,6:07:52 pm
"Mon, Feb 15",7:44:55 am,6:09:23 pm
"Tue, Feb 16",7:43:16 am,6:10:54 pm
"Wed, Feb 17",7:41:35 am,6:12:24 pm
"Thu, Feb 18",7:39:54 am,6:13:55 pm
"Fri, Feb 19",7:38:11 am,6:15:25 pm
"Sat, Feb 20",7:36:27 am,6:16:55 pm
"Sun, Feb 21",7:34:42 am,6:18:24 pm
"Mon, Feb 22",7:32:56 am,6:19:54 pm
"Tue, Feb 23",7:31:09 am,6:21:23 pm
"Wed, Feb 24",7:29:22 am,6:22:52 pm
"Thu, Feb 25",7:27:33 am,6:24:20 pm
"Fri, Feb 26",7:25:44 am,6:25:48 pm
"Sat, Feb 27",7:23:54 am,6:27:16 pm
"Sun, Feb 28",7:22:03 am,6:28:44 pm
"Mon, Mar 1",7:20:11 am,6:30:12 pm
"Tue, Mar 2",7:18:19 am,6:31:39 pm
"Wed, Mar 3",7:16:26 am,6:33:06 pm
"Thu, Mar 4",7:14:33 am,6:34:32 pm
"Fri, Mar 5",7:12:38 am,6:35:59 pm
"Sat, Mar 6",7:10:44 am,6:37:25 pm
"Sun, Mar 7",7:08:49 am,6:38:51 pm
"Mon, Mar 8",7:06:53 am,6:40:16 pm
"Tue, Mar 9",7:04:57 am,6:41:41 pm
"Wed, Mar 10",7:03:00 am,6:43:07 pm
"Thu, Mar 11",7:01:03 am,6:44:31 pm
"Fri, Mar 12",6:59:06 am,6:45:56 pm
"Sat, Mar 13",6:57:09 am,6:47:20 pm
"Sun, Mar 14",7:55:16 am,7:48:41 pm
"Mon, Mar 15",7:53:18 am,7:50:05 pm
"Tue, Mar 16",7:51:19 am,7:51:29 pm
"Wed, Mar 17",7:49:21 am,7:52:53 pm
"Thu, Mar 18",7:47:22 am,7:54:16 pm
"Fri, Mar 19",7:45:24 am,7:55:40 pm
"Sat, Mar 20",7:43:25 am,7:57:03 pm
"Sun, Mar 21",7:41:26 am,7:58:26 pm
"Mon, Mar 22",7:39:27 am,7:59:49 pm
"Tue, Mar 23",7:37:28 am,8:01:12 pm
"Wed, Mar 24",7:35:29 am,8:02:34 pm
"Thu, Mar 25",7:33:30 am,8:03:57 pm
"Fri, Mar 26",7:31:32 am,8:05:19 pm
"Sat, Mar 27",7:29:33 am,8:06:42 pm
"Sun, Mar 28",7:27:35 am,8:08:04 pm
"Mon, Mar 29",7:25:36 am,8:09:26 pm
"Tue, Mar 30",7:23:38 am,8:10:49 pm
"Wed, Mar 31",7:21:40 am,8:12:11 pm
